Day,Year,PM2.5,Predicted_PM2.5
2023-07-21,2.5194579794668845,3.05,3.32375
2023-07-22,2.5194579794668845,2.73,2.5125
2023-07-23,2.5194579794668845,2.32,2.5074999999999994
2023-07-24,2.5194579794668845,2.55,2.456415094339622
2023-07-25,2.5194579794668845,2.5,2.2600000000000002
2023-07-26,2.5194579794668845,2.64,2.2600000000000002
2023-07-27,2.5194579794668845,2.41,2.2600000000000002
2023-07-28,2.5194579794668845,2.73,2.3625
2023-07-29,2.5194579794668845,2.5,3.205
2023-07-30,2.5194579794668845,2.64,3.4524999999999997
2023-07-31,2.5194579794668845,2.45,3.4524999999999997
2023-08-01,2.5194579794668845,2.73,2.115
2023-08-02,2.5194579794668845,3.05,2.5074999999999994
2023-08-03,2.5194579794668845,3.27,2.1666666666666665
2023-08-04,2.5194579794668845,3.55,3.32375
2023-08-05,2.5194579794668845,2.86,3.6399999999999997
2023-08-06,2.5194579794668845,2.82,2.1666666666666665
2023-08-07,2.5194579794668845,2.73,2.0466666666666664
2023-08-08,2.5194579794668845,2.77,2.5074999999999994
2023-08-09,2.5194579794668845,2.91,2.5074999999999994
2023-08-10,2.5194579794668845,3.18,2.855
2023-08-11,2.5194579794668845,2.73,3.4733333333333327
2023-08-12,2.5194579794668845,3.32,2.5074999999999994
2023-08-13,2.5194579794668845,3.0,3.32375
2023-08-14,2.5194579794668845,3.05,2.6225
2023-08-15,2.5194579794668845,3.09,2.6225
2023-08-16,2.5194579794668845,2.86,3.054
2023-08-17,2.5194579794668845,2.77,2.855
2023-08-18,2.5194579794668845,2.86,2.5074999999999994
2023-08-19,2.5194579794668845,3.05,2.855
2023-08-20,2.5194579794668845,3.09,2.1666666666666665
2023-08-21,2.5194579794668845,2.5,3.594
2023-08-22,2.5194579794668845,2.77,2.5074999999999994
2023-08-23,2.5194579794668845,2.86,2.5074999999999994
2023-08-24,2.5194579794668845,3.0,3.3175
2023-08-25,2.5194579794668845,2.82,2.6225
2023-08-26,2.5194579794668845,3.0,2.0466666666666664
2023-08-27,2.5194579794668845,2.45,2.6225
2023-08-28,2.5194579794668845,2.45,2.3625
2023-08-29,2.5194579794668845,2.41,2.3625
2023-08-30,2.5194579794668845,2.5,2.59
2023-08-31,2.5194579794668845,3.18,3.715
2023-09-01,2.5194579794668845,3.0,2.2116666666666664
2023-09-02,2.5194579794668845,3.32,2.6225
2023-09-03,2.5194579794668845,2.91,2.2116666666666664
2023-09-04,2.5194579794668845,2.36,2.1666666666666665
2023-09-05,2.5194579794668845,1.86,2.2560000000000007
2023-09-06,2.5194579794668845,2.36,2.41
2023-09-07,2.5194579794668845,2.91,2.2560000000000007
2023-09-08,2.5194579794668845,2.32,2.1666666666666665
2023-09-09,2.5194579794668845,2.45,2.2560000000000007
2023-09-10,2.5194579794668845,1.95,2.2560000000000007
2023-09-11,2.5194579794668845,1.5,2.41
2023-09-12,2.5194579794668845,1.5,1.1966666666666665
2023-09-13,2.5194579794668845,1.82,1.1966666666666665
2023-09-14,2.5194579794668845,1.05,2.41
2023-09-15,2.5194579794668845,1.23,1.2275
2023-09-16,2.5194579794668845,0.91,1.1966666666666665
2023-09-17,2.5194579794668845,1.27,1.2275
2023-09-18,2.5194579794668845,1.95,1.1966666666666665
2023-09-19,2.5194579794668845,3.27,2.41
2023-09-20,2.5194579794668845,3.18,4.286666666666666
2023-09-21,2.5194579794668845,2.45,3.594
2023-09-22,2.5194579794668845,3.09,2.456415094339622
2023-09-23,2.5194579794668845,3.36,3.054
2023-09-24,2.5194579794668845,3.59,3.32375
2023-09-25,2.5194579794668845,2.82,4.236
2023-09-26,2.5194579794668845,2.14,2.0466666666666664
2023-09-27,2.5194579794668845,1.64,1.8975
2023-09-28,2.5194579794668845,3.27,1.9533333333333331
2023-09-29,2.5194579794668845,1.95,3.019
2023-09-30,2.5194579794668845,2.68,1.9533333333333331
2023-10-01,2.5194579794668845,2.64,2.9749999999999996
2023-10-05,2.5194579794668845,3.23,3.1380000000000003
2023-10-06,2.5194579794668845,1.95,3.594
2023-10-07,2.5194579794668845,2.05,2.5825
2023-10-08,2.5194579794668845,2.5,2.2560000000000007
2023-10-09,2.5194579794668845,3.27,2.6966666666666668
2023-10-10,2.5194579794668845,2.77,3.019
2023-10-11,2.5194579794668845,1.95,2.83
2023-10-12,2.5194579794668845,2.77,2.5825
