Day,Year,Month_x,PM2.5,TempAVG
9/5/2020,2020,5,2.36,33.8
10/5/2020,2020,5,1.68,33.05416667
11/5/2020,2020,5,1.55,29.5625
12/5/2020,2020,5,2.23,31.25
13/5/2020,2020,5,3.45,32.72083333
14/5/2020,2020,5,2.59,31.04583333
15/5/2020,2020,5,2.45,31.86521739
16/5/2020,2020,5,2.41,33
17/5/2020,2020,5,2.64,31.60833333
18/5/2020,2020,5,2.59,32.35833333
19/5/2020,2020,5,2.5,32.35833333
20/5/2020,2020,5,2.23,32.19583333
21/5/2020,2020,5,2.55,32.43333333
22/5/2020,2020,5,2.77,33.80869565
23/5/2020,2020,5,3.86,32.70434783
24/5/2020,2020,5,3.86,30.16666667
25/5/2020,2020,5,3.95,30.0875
26/5/2020,2020,5,4.14,29.45
27/5/2020,2020,5,4.18,31.36666667
28/5/2020,2020,5,2.41,31.7625
29/5/2020,2020,5,2.27,30.17916667
30/5/2020,2020,5,2.45,29.70454545
31/5/2020,2020,5,1.91,30.97391304
1/6/2020,2020,6,2.14,32.2
2/6/2020,2020,6,2.18,30.50833333
3/6/2020,2020,6,1.95,29.1625
4/6/2020,2020,6,2.18,28.97391304
5/6/2020,2020,6,2.41,29.12608696
6/6/2020,2020,6,2.18,30.1875
7/6/2020,2020,6,1.77,30.29130435
8/6/2020,2020,6,1.45,29.7125
9/6/2020,2020,6,1.55,29.225
10/6/2020,2020,6,2.05,30.65416667
11/6/2020,2020,6,1.82,31.45416667
12/6/2020,2020,6,2.45,31.92916667
13/6/2020,2020,6,2.09,32.52173913
14/6/2020,2020,6,2.14,32.35416667
15/6/2020,2020,6,2.36,28.62608696
16/6/2020,2020,6,1.91,28.88333333
17/6/2020,2020,6,1.91,26.61666667
18/6/2020,2020,6,2.23,28.87391304
19/6/2020,2020,6,2.77,29.66666667
20/6/2020,2020,6,2.68,31.3173913
21/6/2020,2020,6,2.36,32.54583333
22/6/2020,2020,6,2.36,30.92916667
23/6/2020,2020,6,2.73,30.25416667
24/6/2020,2020,6,2.73,31.51666667
25/6/2020,2020,6,2.77,31.52083333
26/6/2020,2020,6,2.45,30.225
27/6/2020,2020,6,2.18,31.39090909
28/6/2020,2020,6,2.45,30.6125
29/6/2020,2020,6,2.27,30.45217391
30/6/2020,2020,6,2.18,31.0375
1/7/2020,2020,7,2.18,30.06521739
2/7/2020,2020,7,2.09,29.95833333
3/7/2020,2020,7,2.09,29.31666667
4/7/2020,2020,7,2.5,28.8826087
5/7/2020,2020,7,2.73,31.37083333
6/7/2020,2020,7,2.5,32.05416667
7/7/2020,2020,7,2.27,30.1625
8/7/2020,2020,7,2.41,30.82608696
9/7/2020,2020,7,2.14,32.09565217
10/7/2020,2020,7,2.27,32.16956522
11/7/2020,2020,7,2.41,32.16818182
12/7/2020,2020,7,2.27,31.61666667
13/7/2020,2020,7,2.27,30.0826087
14/7/2020,2020,7,1.91,28.62608696
15/7/2020,2020,7,2.41,29.17916667
16/7/2020,2020,7,2.59,28.96666667
17/7/2020,2020,7,2.32,30.46666667
18/7/2020,2020,7,2.41,30.85833333
19/7/2020,2020,7,2.95,30.4826087
20/7/2020,2020,7,1.91,29.2
21/7/2020,2020,7,2.77,28.65
22/7/2020,2020,7,2.73,29.03913043
23/7/2020,2020,7,2.86,30.32083333
24/7/2020,2020,7,2.55,29.36956522
25/7/2020,2020,7,2.64,28.92272727
26/7/2020,2020,7,2.68,29.93043478
27/7/2020,2020,7,2.32,31.62083333
28/7/2020,2020,7,1.82,29.53478261
29/7/2020,2020,7,2,30.73043478
30/7/2020,2020,7,2.23,31.30833333
31/7/2020,2020,7,2.18,31.41304348
1/8/2020,2020,8,1.95,30.96666667
2/8/2020,2020,8,1.86,29.52608696
3/8/2020,2020,8,1.45,29.38181818
4/8/2020,2020,8,1.68,28.63478261
5/8/2020,2020,8,2,29.1125
6/8/2020,2020,8,2.18,31.05833333
7/8/2020,2020,8,2.59,28.44166667
8/8/2020,2020,8,2.59,28.25416667
9/8/2020,2020,8,2.23,30.40833333
10/8/2020,2020,8,1.91,30.61363636
11/8/2020,2020,8,1.91,30.39565217
12/8/2020,2020,8,2.05,29.80416667
13/8/2020,2020,8,1.86,28.18333333
14/8/2020,2020,8,2.32,26.43913043
15/8/2020,2020,8,2.55,27.525
16/8/2020,2020,8,2.77,30.00416667
17/8/2020,2020,8,2.59,29.33333333
18/8/2020,2020,8,2.86,30.82916667
19/8/2020,2020,8,3.32,30.8375
20/8/2020,2020,8,2.95,29.86956522
21/8/2020,2020,8,3.45,29.82916667
22/8/2020,2020,8,2.73,29.37916667
23/8/2020,2020,8,2.5,28.4125
24/8/2020,2020,8,2.36,30.87083333
25/8/2020,2020,8,2.64,32.39583333
26/8/2020,2020,8,2.59,32.95416667
27/8/2020,2020,8,2.41,31.62916667
28/8/2020,2020,8,2.32,29.34583333
29/8/2020,2020,8,2.73,30.44166667
30/8/2020,2020,8,2.82,30.85416667
31/8/2020,2020,8,3.09,31.24782609
1/9/2020,2020,9,2.36,29.07083333
2/9/2020,2020,9,2.36,30.9125
3/9/2020,2020,9,3.23,31.42916667
4/9/2020,2020,9,2.86,31.825
5/9/2020,2020,9,2.73,30.85416667
6/9/2020,2020,9,2.45,30.86666667
7/9/2020,2020,9,2,30.175
8/9/2020,2020,9,1.82,29.92083333
9/9/2020,2020,9,2.27,29.5375
10/9/2020,2020,9,3.05,30.18333333
11/9/2020,2020,9,2.59,31.01666667
12/9/2020,2020,9,1.86,30.22916667
13/9/2020,2020,9,1.91,30.0875
14/9/2020,2020,9,2,30.52083333
15/9/2020,2020,9,1.77,29.3875
16/9/2020,2020,9,2.14,31.07916667
17/9/2020,2020,9,2.36,31.77083333
18/9/2020,2020,9,2.27,28.95
19/9/2020,2020,9,2.27,27.3375
20/9/2020,2020,9,1.77,27.8875
21/9/2020,2020,9,1.18,28.9625
22/9/2020,2020,9,2.5,29.42916667
23/9/2020,2020,9,2.82,29.3
24/9/2020,2020,9,3.5,28.11666667
25/9/2020,2020,9,1.68,30.5
26/9/2020,2020,9,2.09,31.6375
27/9/2020,2020,9,3.77,30.89130435
28/9/2020,2020,9,2.23,28.24166667
29/9/2020,2020,9,2.23,28.18333333
30/9/2020,2020,9,1.73,29.6875
1/10/2020,2020,10,2.59,30.77916667
2/10/2020,2020,10,2.55,28.84347826
3/10/2020,2020,10,2.18,27.4375
4/10/2020,2020,10,2.59,28.84166667
5/10/2020,2020,10,1.95,28.90869565
6/10/2020,2020,10,2.64,29.26666667
7/10/2020,2020,10,3.09,30.25416667
8/10/2020,2020,10,3.05,26.63043478
9/10/2020,2020,10,2.59,25.44583333
10/10/2020,2020,10,2.41,26.36666667
11/10/2020,2020,10,2.36,26.77083333
12/10/2020,2020,10,2.64,28.72916667
13/10/2020,2020,10,3.5,25.625
14/10/2020,2020,10,3.14,28.45833333
15/10/2020,2020,10,2.86,29.75833333
16/10/2020,2020,10,3.59,27.49166667
17/10/2020,2020,10,2.23,24.6875
18/10/2020,2020,10,2.09,24.08695652
19/10/2020,2020,10,1.91,25.52727273
20/10/2020,2020,10,3.23,26.82083333
21/10/2020,2020,10,3.05,28.00416667
22/10/2020,2020,10,2.95,28.575
23/10/2020,2020,10,3.41,29.1375
24/10/2020,2020,10,3.77,29.13333333
25/10/2020,2020,10,4.5,28.93333333
26/10/2020,2020,10,5.82,29.63043478
27/10/2020,2020,10,5.27,28.075
28/10/2020,2020,10,3.73,28.86666667
29/10/2020,2020,10,4.27,27.41666667
30/10/2020,2020,10,3.45,27.775
31/10/2020,2020,10,2.59,27.4875
